longitude,latitude,sqft_living,population,price,ocean_proximity,yr_changed,bedrooms
-122.27,37.82,1630,1162,104200,1,1971,1.0
-122.28,37.82,1170,701,87500,1,1971,1.0
-122.28,37.82,945,576,83100,1,1971,1.0
-122.28,37.82,1238,622,87500,1,1971,1.0
-122.28,37.82,1489,728,85300,1,1971,1.0
-122.28,37.82,1387,1074,80300,1,1971,1.0
-122.29,37.82,158,94,60000,1,2021,1.0
-122.29,37.83,1121,554,75700,1,1971,1.0
-122.29,37.82,135,86,75000,1,1974,1.0
-122.29,37.81,760,377,86100,1,1973,1.0
-122.3,37.81,1224,521,76100,1,1971,1.0
-122.3,37.81,828,392,73500,1,1975,1.0
-122.3,37.81,1010,604,78400,1,1971,1.0
-122.3,37.81,1455,788,84400,1,1975,1.0
-122.29,37.8,1027,492,81300,1,1971,1.0
-122.3,37.81,572,274,85000,1,1971,1.0
-122.29,37.81,2801,1823,129200,1,1977,2.0
-122.29,37.81,768,392,82500,1,1997,1.0
-122.29,37.81,935,582,95200,1,1977,1.0
-122.29,37.81,844,560,75000,1,1974,1.0
-122.29,37.81,12,18,67500,1,1977,1.0
-122.29,37.81,835,290,137500,1,2003,1.0
-122.28,37.81,1237,762,177500,1,2006,1.0
-122.28,37.81,2914,1236,102100,1,1987,2.0
-122.28,37.81,1207,721,108300,1,2004,1.0
-122.29,37.81,1745,1054,112500,1,2000,1.0
-122.28,37.8,684,344,131300,1,1985,1.0
-122.28,37.81,924,609,162500,1,2006,1.0
-122.27,37.81,210,183,112500,1,1971,1.0
-122.28,37.81,340,200,112500,1,1971,1.0
-122.28,37.81,386,346,137500,1,1971,1.0
-122.28,37.81,948,467,118800,1,1988,1.0
-122.28,37.81,773,377,98200,1,1971,1.0
-122.27,37.81,880,582,118800,1,1983,1.0
-122.27,37.81,875,546,162500,1,2013,1.0
-122.27,37.8,105,125,137500,1,2013,1.0
-122.27,37.8,249,396,500001,1,1971,1.0
-122.27,37.8,994,800,162500,1,2007,1.0
-122.28,37.8,215,904,137500,1,1971,1.0
-122.28,37.8,96,191,162500,1,1971,1.0
-122.27,37.79,1055,718,187500,1,1996,1.0
-122.27,37.8,1715,1327,179200,1,1984,2.0
-122.26,37.8,5329,3469,130000,1,1987,9.0
-122.26,37.82,4596,2048,183800,1,1992,5.0
-122.26,37.81,335,202,125000,1,1994,1.0
-122.26,37.82,3682,2024,170000,1,2001,5.0
-122.26,37.82,3633,1838,193100,1,1986,4.0
-122.25,37.81,4656,2304,257800,1,1994,5.0
-122.25,37.81,5806,2563,273400,1,1995,6.0
-122.25,37.81,854,389,237500,1,1984,1.0
-122.25,37.81,2155,895,350000,1,1971,2.0
-122.26,37.81,5871,2689,335700,1,1989,7.0
-122.24,37.82,1509,674,313400,1,1971,1.0
-122.24,37.81,2026,709,268500,1,1971,1.0
-122.25,37.81,1758,686,259400,1,1971,1.0
-122.24,37.82,3481,1444,275700,1,1971,3.0
-122.25,37.82,3337,1520,225000,1,1995,3.0
-122.25,37.82,1424,550,262500,1,1971,1.0
-122.25,37.82,3809,1806,218500,1,1991,4.0
-122.25,37.82,3959,1749,255000,1,1997,4.0
-122.25,37.83,2376,939,224100,1,1971,2.0
-122.25,37.83,1613,675,243100,1,1988,1.0
-122.25,37.83,1279,534,231600,1,1971,1.0
-122.25,37.83,5022,2558,218500,1,1995,7.0
-122.25,37.83,4190,1786,234100,1,1971,4.0
-122.23,37.84,2515,970,327600,1,1973,1.0
-122.23,37.84,3175,1098,347600,1,1976,1.0
-122.24,37.83,2576,794,366100,1,1982,1.0
-122.24,37.85,334,98,335000,1,1986,1.0
-122.23,37.85,2800,1061,373600,1,1971,1.0
-122.24,37.84,3529,1177,389500,1,1971,2.0
-122.24,37.85,2612,901,391100,1,1971,1.0
-122.22,37.85,5287,2031,337300,1,1995,4.0
-122.22,37.84,2935,1031,295200,1,1973,1.0
-122.21,37.84,3424,1358,292300,1,1979,2.0
-122.21,37.83,4991,1616,411500,1,1983,2.0
-122.2,37.84,2211,844,311500,1,1993,1.0
-122.21,37.84,3038,1140,325900,1,1989,1.0
-122.19,37.84,1617,533,392600,1,2005,1.0
-122.2,37.84,2865,1072,319300,1,1988,1.0
-122.21,37.83,5065,1627,333300,1,1989,3.0
-122.19,37.83,1326,463,335200,1,1995,1.0
-122.2,37.83,1589,542,351200,1,1997,1.0
-122.19,37.83,1791,661,368900,1,1994,1.0
-122.19,37.82,1835,635,365900,1,1991,1.0
-122.2,37.82,1229,420,366700,1,1986,1.0
-122.2,37.82,3770,1265,362800,1,1984,2.0
-122.18,37.81,292,126,483300,1,1993,1.0
-122.21,37.82,2375,813,331400,1,1971,1.0
-122.2,37.81,2964,1067,323500,1,1978,1.0
-122.21,37.8,2833,1260,216700,1,1973,2.0
-122.21,37.8,2254,951,233100,1,1985,2.0
-122.21,37.81,1389,510,296400,1,1971,1.0
-122.22,37.81,1971,765,273700,1,1971,1.0
-122.22,37.8,2183,1129,227700,1,1971,1.0
-122.22,37.8,2286,1073,199600,1,1971,1.0
-122.22,37.8,2721,1185,239800,1,1971,2.0
-122.22,37.81,2024,756,270100,1,1971,1.0
-122.22,37.81,2944,1034,302100,1,1971,2.0
-122.23,37.8,2033,787,269500,1,1971,1.0
-122.23,37.81,1433,612,314700,1,1971,1.0
-122.22,37.81,2927,1021,390100,1,1971,1.0
-122.23,37.81,2315,861,410300,1,1971,1.0
-122.24,37.81,2485,953,352400,1,1971,1.0
-122.24,37.81,1490,634,287300,1,1971,1.0
-122.23,37.81,2814,878,348700,1,1971,1.0
-122.24,37.81,2093,918,243800,1,1971,2.0
-122.24,37.8,888,360,211500,1,1971,1.0
-122.25,37.8,2087,1197,218400,1,1971,2.0
-122.24,37.81,2513,1048,269900,1,1971,2.0
-122.25,37.81,3232,1373,218800,1,1977,3.0
-122.25,37.8,4120,1715,225000,1,1981,4.0
-122.25,37.8,2364,1359,250000,1,1980,3.0
-122.25,37.8,1471,1062,171400,1,1982,1.0
-122.25,37.8,2468,1335,193800,1,1994,3.0
-122.24,37.79,1632,1171,125000,1,1996,1.0
-122.25,37.79,1786,1475,97500,1,1978,2.0
-122.25,37.79,629,742,125000,1,1973,1.0
-122.25,37.79,1339,1086,138800,1,1971,1.0
-122.25,37.8,1678,1645,116700,1,1987,2.0
-122.25,37.8,2344,1710,151800,1,1980,2.0
-122.24,37.8,996,731,127000,1,1971,1.0
-122.24,37.8,1591,1118,128600,1,1971,1.0
-122.24,37.8,1586,1006,140600,1,1971,1.0
-122.24,37.8,2046,1213,182700,1,1976,2.0
-122.23,37.8,1192,772,146900,1,1971,1.0
-122.24,37.8,1803,1321,122800,1,1971,1.0
-122.24,37.8,2838,1487,169300,1,1974,2.0
-122.23,37.8,783,488,126600,1,1971,1.0
-122.23,37.8,1590,949,127900,1,1972,1.0
-122.23,37.8,1746,1149,123500,1,1973,1.0
-122.23,37.8,1252,844,111900,1,1971,1.0
-122.23,37.79,5963,4367,112800,1,1980,5.0
-122.23,37.79,1783,1659,107900,1,1971,1.0
-122.23,37.79,999,1011,137500,1,1993,1.0
-122.24,37.79,1469,1464,105500,1,1984,1.0
-122.24,37.79,1372,1237,95500,1,1976,1.0
-122.24,37.79,674,647,116100,1,1971,1.0
-122.24,37.79,1626,1284,112200,1,1980,1.0
-122.25,37.79,175,228,75000,1,1972,1.0
-122.25,37.79,461,381,112500,1,1984,1.0
-122.25,37.79,902,846,125000,1,1971,1.0
-122.26,37.8,2373,1659,115000,1,2003,3.0
-122.22,37.77,391,520,95000,1,1971,1.0
-122.22,37.77,1137,866,96400,1,1971,1.0
-122.23,37.77,769,612,72000,1,1971,1.0
-122.23,37.78,472,415,71300,1,1971,1.0
-122.23,37.78,862,994,80800,1,1971,1.0
-122.22,37.78,1920,1525,128800,1,1973,2.0
-122.23,37.78,1420,1506,112500,1,1980,1.0
-122.23,37.78,986,1008,119400,1,1971,1.0
-122.23,37.78,2340,2813,118100,1,1979,3.0
-122.23,37.79,1696,1481,122500,1,1975,1.0
-122.23,37.79,1175,859,106300,1,1974,1.0
-122.22,37.79,2343,1608,132500,1,1986,2.0
-122.23,37.79,610,425,122700,1,1993,1.0
-122.23,37.79,930,564,113300,1,1983,1.0
-122.22,37.79,1487,961,109500,1,1979,1.0
-122.22,37.79,3424,2273,164700,1,1971,2.0
-122.21,37.79,762,600,125000,1,1971,1.0
-122.22,37.79,2366,1647,124700,1,1977,2.0
-122.22,37.79,1826,1201,136700,1,1974,1.0
-122.22,37.79,3049,2167,141700,1,1985,2.0
-122.2,37.79,1640,939,150000,1,1994,1.0
-122.21,37.79,1543,859,138800,1,1976,1.0
-122.21,37.79,2364,1517,139200,1,1989,2.0
-122.21,37.79,1745,1143,143800,1,1988,1.0
-122.21,37.8,2003,1109,156500,1,1984,2.0
-122.21,37.8,2018,1221,151000,1,1984,1.0
-122.2,37.8,3045,1115,273000,1,1980,1.0
-122.2,37.8,1547,706,217100,1,1971,1.0
-122.21,37.8,3519,1883,187100,1,1971,2.0
-122.2,37.8,2070,804,239600,1,1982,1.0
-122.21,37.8,1321,506,229700,1,1975,1.0
-122.19,37.8,1694,610,257300,1,1975,1.0
-122.19,37.8,1938,768,246900,1,1977,1.0
-122.19,37.79,968,462,179900,1,1973,1.0
-122.2,37.79,1060,667,169600,1,1983,1.0
-122.2,37.8,2041,1059,203300,1,1977,1.0
-122.19,37.8,1813,637,263400,1,1971,1.0
-122.19,37.79,2718,1106,231800,1,1978,1.0
-122.19,37.79,3144,1737,140500,1,1995,3.0
-122.2,37.79,1802,1009,126000,1,1988,1.0
-122.2,37.79,882,737,122000,1,1974,1.0
-122.2,37.79,1621,1354,134700,1,1979,1.0
-122.21,37.79,2115,1530,139400,1,1978,2.0
-122.2,37.79,2021,1410,115400,1,1978,2.0
-122.21,37.78,2239,1390,137300,1,1977,2.0
-122.21,37.78,1477,1065,137000,1,1971,1.0
-122.21,37.78,1056,792,142600,1,1971,1.0
-122.21,37.78,898,779,137500,1,1974,1.0
-122.22,37.78,2968,2269,111700,1,1979,2.0
-122.21,37.78,1702,1227,126800,1,1980,1.0
-122.21,37.78,881,753,111300,1,1976,1.0
-122.22,37.77,494,547,114800,1,1983,1.0
-122.22,37.78,1776,1807,102300,1,1973,1.0
-122.22,37.78,1678,1700,131900,1,1979,2.0
-122.22,37.78,1637,1543,119100,1,1972,1.0
-122.21,37.76,1420,1085,80600,1,1971,1.0
-122.21,37.77,591,353,80600,1,1971,1.0
-122.21,37.77,745,473,88800,1,1971,1.0
-122.2,37.77,2272,1621,102400,1,1974,1.0
-122.21,37.77,1234,1183,98700,1,1977,1.0
-122.21,37.77,1017,836,100000,1,1980,1.0
-122.19,37.77,932,900,92300,1,1981,1.0
-122.2,37.77,2689,1888,94800,1,1984,2.0
-122.2,37.77,1547,1024,102000,1,1982,1.0
-122.2,37.78,2300,1225,158400,1,1971,1.0
-122.2,37.78,1752,1071,121600,1,1984,1.0
-122.2,37.78,1867,1128,129100,1,1973,1.0
-122.2,37.77,2430,1537,121400,1,1980,2.0
-122.21,37.78,1729,1240,102800,1,1979,1.0
-122.19,37.78,1026,469,160000,1,1971,1.0
-122.19,37.77,2170,1086,143900,1,1971,1.0
-122.19,37.77,2329,1144,151200,1,1971,1.0
-122.19,37.78,2492,1109,164400,1,1971,1.0
-122.19,37.78,2198,984,156500,1,1971,1.0
-122.18,37.78,142,575,225000,1,1990,1.0
-122.19,37.78,1183,496,174200,1,1974,1.0
-122.19,37.78,1070,555,166900,1,1971,1.0
-122.2,37.78,1766,869,163500,1,1978,1.0
-122.18,37.79,617,236,253000,1,1984,1.0
-122.18,37.79,1411,626,240700,1,1982,1.0
-122.18,37.79,2109,922,208100,1,1977,1.0
-122.19,37.79,1229,582,198100,1,1976,1.0
-122.19,37.79,954,546,172800,1,1973,1.0
-122.18,37.81,1643,620,336700,1,1986,1.0
-122.18,37.8,1355,442,318200,1,1989,1.0
-122.18,37.8,2317,955,285800,1,2000,1.0
-122.13,37.77,2459,916,293000,1,1999,1.0
-122.16,37.79,12842,4985,371000,1,2001,8.0
-122.17,37.78,1524,651,157300,1,1981,1.0
-122.17,37.77,3326,1704,135300,1,1993,2.0
-122.18,37.78,1985,1085,136700,1,1980,1.0
-122.18,37.78,1642,713,160700,1,1973,1.0
-122.17,37.78,893,468,140600,1,1974,1.0
-122.17,37.78,653,296,144000,1,1971,1.0
-122.16,37.77,1256,570,161900,1,1976,
-122.16,37.77,977,446,156300,1,1975,1.0
-122.16,37.77,2324,968,176000,1,1978,1.0
-122.16,37.77,1583,857,145800,1,1984,1.0
-122.17,37.77,1612,912,141900,1,1984,1.0
-122.17,37.77,2424,1360,90700,1,1992,2.0
-122.17,37.76,1594,1074,90600,1,1982,1.0
-122.17,37.76,2118,965,107900,1,1976,1.0
-122.18,37.76,1575,933,107000,1,1986,1.0
-122.17,37.76,1764,987,98200,1,1985,1.0
-122.18,37.76,1187,907,89500,1,1973,1.0
-122.18,37.76,754,447,93800,1,1971,1.0
-122.18,37.76,2308,1299,96700,1,1974,1.0
-122.18,37.77,909,396,97500,1,1996,1.0
-122.18,37.77,1180,877,97300,1,1981,1.0
-122.18,37.76,2018,1111,91200,1,1980,1.0
-122.19,37.76,1368,790,91400,1,1974,1.0
-122.18,37.77,2744,1479,96200,1,1971,2.0
-122.18,37.77,2107,1173,120100,1,1972,1.0
-122.18,37.77,1748,1029,100000,1,1971,1.0
-122.19,37.76,2024,1030,94700,1,1971,1.0
-122.2,37.76,1116,826,85700,1,1976,1.0
-122.19,37.77,2036,1412,89300,1,1982,2.0
-122.19,37.77,1852,1132,101400,1,1978,1.0
-122.19,37.76,921,522,72500,1,1982,1.0
-122.19,37.76,995,630,74100,1,1978,1.0
-122.2,37.75,606,531,70000,1,1987,1.0
-122.2,37.76,2680,1925,84600,1,1986,2.0
-122.19,37.76,1493,1144,81800,1,1985,1.0
-122.19,37.75,2207,1481,81400,1,2004,2.0
-122.19,37.75,856,435,81800,1,1995,1.0
-122.19,37.76,1293,984,85800,1,1997,1.0
-122.19,37.74,847,567,87100,1,1987,1.0
-122.18,37.74,541,380,83500,1,1981,1.0
-122.19,37.73,1066,825,79700,1,1979,1.0
-122.19,37.74,707,417,83400,1,1980,1.0
-122.19,37.73,1528,801,84700,1,1978,1.0
-122.18,37.73,909,646,80000,1,1981,1.0
-122.18,37.73,1391,855,76400,1,1980,1.0
-122.18,37.73,548,435,79700,1,1979,1.0
-122.18,37.73,4074,2736,82400,1,1981,3.0
-122.17,37.74,1613,1481,97700,1,1982,1.0
-122.17,37.74,463,327,97200,1,1976,1.0
-122.17,37.74,818,494,101600,1,1980,1.0
-122.17,37.73,1473,1231,86500,1,1980,1.0
-122.18,37.74,504,323,90500,1,1988,1.0
-122.17,37.74,1026,749,107600,1,1977,1.0
-122.17,37.74,769,693,84200,1,1977,1.0
-122.18,37.74,2103,1339,88900,1,1977,1.0
-122.18,37.75,330,282,80700,1,1978,1.0
-122.18,37.75,941,621,87100,1,1977,1.0
-122.17,37.75,992,732,85100,1,1985,
-122.18,37.75,990,901,82000,1,1978,1.0
-122.19,37.75,1126,482,82800,1,1987,1.0
-122.18,37.75,1036,652,84600,1,1980,1.0
-122.18,37.75,1047,651,82100,1,1987,1.0
-122.17,37.76,1280,999,89300,1,1990,1.0
-122.17,37.75,1587,907,98300,1,1980,1.0
-122.17,37.75,1257,828,92300,1,1982,1.0
-122.17,37.75,1218,763,88800,1,1979,1.0
-122.17,37.75,1751,935,90000,1,1975,1.0
-122.16,37.76,2299,1437,95500,1,1978,2.0
-122.16,37.75,2457,1516,91700,1,1985,2.0
-122.17,37.75,998,597,100400,1,1976,1.0
-122.17,37.76,1685,949,94800,1,1983,1.0
-122.16,37.76,1827,881,164300,1,1977,1.0
-122.16,37.76,2781,1438,155500,1,1987,2.0
-122.15,37.76,1823,763,196900,1,1984,1.0
-122.14,37.77,2229,1297,279100,1,1996,1.0
-122.14,37.76,1513,545,252800,1,1989,1.0
-122.13,37.76,3266,1222,275400,1,1997,1.0
-122.12,37.75,1809,808,250000,1,1990,1.0
-122.12,37.75,794,329,329800,1,1995,1.0
-122.14,37.75,690,299,195500,1,1987,1.0
-122.14,37.75,1334,579,255900,1,1990,1.0
-122.13,37.75,414,137,311100,1,1993,1.0
-122.13,37.75,768,229,330000,1,1987,1.0
-122.13,37.74,4400,1476,248900,1,1982,2.0
-122.16,37.75,954,429,142900,1,1977,1.0
-122.15,37.75,1445,849,126300,1,1983,1.0
-122.15,37.75,1938,946,135800,1,1979,1.0
-122.15,37.74,856,571,130600,1,1982,1.0
-122.16,37.75,1790,1137,107900,1,1999,1.0
-122.16,37.75,617,378,111100,1,1979,1.0
-122.15,37.74,1383,853,122000,1,1980,1.0
-122.15,37.74,1325,764,118000,1,1974,1.0
-122.16,37.75,1227,928,95200,1,1983,1.0
-122.16,37.75,667,406,94300,1,1988,1.0
-122.17,37.74,1223,824,92500,1,1989,1.0
-122.17,37.75,1379,835,91800,1,1986,1.0
-122.16,37.74,1534,826,109400,1,1980,1.0
-122.16,37.74,1029,567,129500,1,1977,1.0
-122.16,37.74,771,355,143400,1,1971,1.0
-122.16,37.74,824,533,98200,1,1976,1.0
-122.16,37.74,1097,609,103100,1,1979,1.0
-122.29,37.9,1283,576,276800,1,1974,1.0
-122.29,37.9,1604,594,270900,1,1971,1.0
-122.29,37.89,2248,870,246200,1,1971,1.0
-122.3,37.9,2263,1027,224200,1,1985,2.0
-122.29,37.89,1571,693,229100,1,1971,1.0
-122.3,37.89,1520,815,211600,1,1977,1.0
-122.3,37.9,5083,2420,256100,1,2008,4.0
-122.3,37.89,1077,518,206300,1,1987,1.0
-122.3,37.89,1248,620,221300,1,1971,1.0
-122.33,37.89,1342,551,207400,1,1981,1.0
-122.34,37.88,3061,2556,350000,1,1986,3.0
-122.29,37.89,3171,1498,218200,1,1971,2.0
-122.29,37.88,1211,523,216700,1,1973,1.0
-122.29,37.89,979,374,270600,1,1971,1.0
-122.29,37.89,2269,1004,261400,1,1971,1.0
-122.28,37.88,1844,769,261300,1,1971,1.0
-122.29,37.89,2178,940,232200,1,1971,1.0
-122.27,37.9,1650,645,375400,1,1981,1.0
-122.26,37.9,1927,705,357300,1,1971,1.0
-122.27,37.9,2079,684,374400,1,1971,1.0
-122.27,37.9,1803,572,358800,1,1971,1.0
-122.27,37.9,2041,671,417500,1,1971,1.0
-122.27,37.89,3046,975,430500,1,1971,1.0
-122.28,37.9,2318,779,362900,1,1971,1.0
-122.28,37.9,2003,658,397000,1,1971,1.0
-122.28,37.9,2261,819,346800,1,1971,1.0
-122.28,37.89,1225,412,327100,1,1971,1.0
-122.28,37.89,2315,835,290100,1,1971,1.0
-122.28,37.89,2070,722,292000,1,1971,1.0
-122.28,37.89,2616,1085,270900,1,1971,1.0
-122.27,37.89,2640,973,371100,1,1971,1.0
-122.27,37.89,1978,723,335600,1,1971,1.0
-122.26,37.9,2220,903,371300,1,1986,1.0
-122.25,37.89,1125,356,344000,1,1982,1.0
-122.26,37.89,3078,1005,342200,1,1971,1.0
-122.26,37.89,3706,1205,370900,1,1971,2.0
-122.25,37.89,3000,987,350000,1,1986,1.0
-122.25,37.89,2863,1031,368600,1,1981,1.0
-122.26,37.88,2551,894,391800,1,1971,1.0
-122.26,37.88,2255,823,415300,1,1971,1.0
-122.27,37.88,3360,1232,284900,1,1971,2.0
-122.27,37.88,1693,669,287500,1,1971,1.0
-122.27,37.88,2252,989,272900,1,1979,2.0
-122.28,37.88,2495,1058,259600,1,1971,1.0
-122.28,37.88,1193,506,254500,1,1971,1.0
-122.28,37.88,1172,489,235600,1,1971,1.0
-122.29,37.88,2159,824,218400,1,1971,1.0
-122.29,37.88,2365,1034,229200,1,1975,1.0
-122.29,37.88,1895,920,192100,1,1977,1.0
-122.29,37.88,1650,841,179300,1,1971,1.0
-122.3,37.88,453,749,187500,1,1978,1.0
-122.3,37.88,409,208,138800,1,1971,1.0
-122.3,37.87,503,228,150000,1,2013,1.0
-122.3,37.86,499,287,140600,1,1973,1.0
-122.29,37.85,477,218,120000,1,1971,1.0
-122.3,37.88,1647,854,144800,1,1977,1.0
-122.3,37.87,3123,1695,144800,1,1971,2.0
-122.28,37.88,957,403,245500,1,1971,1.0
-122.28,37.87,589,288,200000,1,1971,1.0
-122.28,37.87,2026,963,173700,1,1974,2.0
-122.29,37.87,1829,1129,185600,1,1973,2.0
-122.29,37.87,895,386,182600,1,1971,1.0
-122.28,37.88,1909,811,227900,1,1971,1.0
-122.28,37.87,3022,1293,220700,1,1977,2.0
-122.28,37.87,1777,805,212000,1,1977,1.0
-122.27,37.88,2803,1372,271400,1,1971,3.0
-122.27,37.87,1465,862,268800,1,1993,1.0
-122.27,37.88,2619,1152,277800,1,1986,2.0
-122.26,37.88,1149,483,332500,1,1971,1.0
-122.26,37.88,2363,1558,338900,1,1971,2.0
-122.26,37.88,2604,1798,287500,1,1971,3.0
-122.25,37.87,685,266,384600,1,1982,1.0
-122.25,37.87,1756,2184,371400,1,1981,1.0
-122.25,37.87,1204,2016,350000,1,1971,1.0
-122.25,37.87,609,1349,500001,1,1971,1.0
-122.26,37.87,1087,3337,175000,1,1971,1.0
-122.26,37.87,2773,1721,241700,1,1971,3.0
-122.27,37.87,3218,1675,216700,1,1988,4.0
-122.27,37.87,1350,707,211300,1,1974,1.0
-122.27,37.87,3084,1424,210200,1,1971,2.0
-122.28,37.86,938,393,196400,1,1971,1.0
-122.28,37.87,1813,828,191700,1,1971,1.0
-122.28,37.87,1233,571,182300,1,1971,1.0
-122.29,37.87,2539,1382,175000,1,1979,3.0
-122.29,37.87,1267,792,165900,1,1977,1.0
-122.29,37.86,1665,815,156900,1,1971,1.0
-122.28,37.86,1659,788,164300,1,1971,1.0
-122.29,37.87,2225,1145,150000,1,1971,1.0
-122.29,37.86,2485,1354,150500,1,1973,2.0
-122.28,37.86,2031,958,169900,1,1971,1.0
-122.28,37.86,2932,1361,147400,1,1974,2.0
-122.28,37.85,2246,1005,152700,1,1971,1.0
-122.27,37.86,2052,924,182700,1,1974,1.0
-122.28,37.86,1999,780,179300,1,1971,1.0
-122.28,37.86,3007,1582,157700,1,1971,2.0
-122.28,37.86,2214,1213,153100,1,1982,2.0
-122.27,37.86,1088,486,250000,1,1971,1.0
-122.27,37.86,834,494,206300,1,1971,1.0
-122.27,37.86,1769,849,218800,1,1971,1.0
-122.27,37.86,2307,1127,198200,1,1971,2.0
-122.26,37.86,5161,3276,253600,1,1988,6.0
-122.26,37.86,3497,1493,257400,1,1971,3.0
-122.26,37.86,3774,1461,289500,1,1971,2.0
-122.26,37.86,2888,1253,241700,1,1971,2.0
-122.25,37.86,2153,1656,489600,1,1975,2.0
-122.25,37.86,1389,514,446200,1,1971,1.0
-122.25,37.86,1709,719,456300,1,1971,1.0
-122.25,37.86,1587,878,336800,1,1971,1.0
-122.24,37.86,1668,517,500001,1,1971,1.0
-122.24,37.85,3726,1366,500001,1,1971,1.0
-122.25,37.86,4048,1316,376900,1,1971,2.0
-122.26,37.85,3618,1508,309600,1,1971,3.0
-122.27,37.85,4076,1800,182300,1,1971,3.0
-122.27,37.85,2077,719,172700,1,1976,1.0
-122.27,37.85,1279,675,150800,1,1973,1.0
-122.27,37.85,1974,875,153600,1,1971,1.0
-122.27,37.85,335,152,106300,1,1971,1.0
-122.27,37.85,1375,843,142300,1,1976,1.0
-122.28,37.85,610,281,119400,1,1971,1.0
-122.28,37.85,1025,506,147900,1,1979,1.0
-122.28,37.85,2063,1054,132900,1,1975,1.0
-122.29,37.84,1872,1017,132500,1,1988,1.0
-122.28,37.83,3108,1623,126900,1,1971,3.0
-122.3,37.84,7355,3100,143800,1,2009,9.0
-122.23,37.83,2990,947,500001,1,1971,1.0
-122.22,37.82,2492,808,500001,1,1984,1.0
-122.22,37.82,2991,1018,500001,1,1981,1.0
-122.23,37.82,3242,1001,500001,1,1971,1.0
-122.23,37.82,3051,1005,466100,1,1971,1.0
-122.23,37.82,3494,1192,500001,1,1971,1.0
-122.24,37.83,1757,585,457800,1,1971,1.0
-122.24,37.83,2449,916,471600,1,1971,1.0
-122.23,37.82,1611,556,500001,1,1971,1.0
-122.24,37.82,3665,1470,398600,1,1971,2.0
-122.25,37.82,2474,1104,340700,1,1971,1.0
-122.23,37.76,3037,1242,289900,1,1971,2.0
-122.23,37.76,2269,805,335300,1,1971,1.0
-122.23,37.76,1316,378,333000,1,1971,1.0
-122.24,37.77,1153,481,241000,1,1971,1.0
-122.23,37.77,772,409,189600,1,1971,1.0
-122.24,37.77,1711,885,206300,1,1971,1.0
-122.25,37.77,2650,1468,215700,1,1971,2.0
-122.25,37.77,1038,482,210200,1,1971,1.0
-122.25,37.77,1527,825,208800,1,1971,1.0
-122.25,37.77,859,429,197900,1,1971,1.0
-122.26,37.78,970,528,201300,1,1971,1.0
-122.26,37.78,1045,496,190800,1,1971,1.0
