price,bedrooms,bathrooms,sqft_living,ocean_proximity,yr_changed,latitude,longitude
605000,4,2.5,2620,0,1996,47.5301,-122.18
625000,4,2.5,2570,0,2000,47.6145,-122.027
775000,4,2.25,4220,0,1984,47.445,-122.347
861990,5,2.75,3595,0,2014,47.6848,-122.016
685000,3,1.0,1570,0,1922,47.6413,-122.364
309000,3,1.0,1280,0,1959,47.4485,-122.175
488000,3,2.5,3160,0,2003,47.7443,-121.977
210490,3,1.0,990,0,1966,47.3066,-122.371
785000,4,2.5,2290,0,1981,47.6194,-122.151
450000,3,1.75,1250,0,1953,47.6796,-122.301
1350000,3,2.5,2753,1,1953,47.4041,-122.451
228000,3,1.0,1190,0,1955,47.4258,-122.322
345000,5,2.5,3150,0,1966,47.4934,-122.189
600000,3,1.75,1410,0,1950,47.6808,-122.384
585000,2,1.75,1980,0,1981,47.6989,-122.369
920000,5,2.25,2730,0,1927,47.6571,-122.281
885000,4,2.5,2830,0,1995,47.6597,-122.29
292500,4,2.5,2250,0,2008,47.3663,-122.114
301000,3,2.5,2420,0,2003,47.3663,-122.122
951000,5,3.25,3250,0,1968,47.588,-122.116
430000,4,3.0,1850,0,1991,47.5059,-122.149
650000,3,2.25,2150,0,1959,47.4336,-122.339
289000,3,1.75,1260,0,1954,47.4366,-122.335
505000,3,1.75,2519,0,1973,47.4428,-122.344
549000,3,1.75,1540,0,2014,47.6765,-122.32
425000,3,2.25,1660,0,1979,47.6113,-122.297
317625,3,2.75,2770,0,1925,47.5747,-122.304
975000,4,2.5,2720,0,1989,47.5815,-122.192
287000,4,2.5,2240,0,2005,47.3378,-122.257
204000,3,1.0,1000,0,1968,47.3621,-122.11
1325000,5,2.25,3200,0,1965,47.6303,-122.215
1040000,5,3.25,4770,0,1973,47.6525,-122.16
325000,3,2.0,1260,0,1972,47.7362,-122.179
571000,4,2.0,2750,0,1916,47.7168,-122.287
360000,4,2.5,2380,0,2005,47.3608,-122.036
349000,3,1.75,1790,0,1965,47.3511,-122.073
832500,4,4.0,3430,0,1986,47.5822,-121.987
380000,4,1.75,1760,0,1956,47.6034,-122.125
480000,3,1.0,1040,0,1941,47.5636,-122.394
410000,3,1.0,1410,0,1956,47.7073,-122.34
720000,4,2.5,3450,0,2002,47.342,-122.025
390000,3,2.5,2350,0,2003,47.3512,-122.008
360000,4,2.5,1900,0,1992,47.349,-122.031
355000,2,1.0,2020,0,1948,47.5474,-122.291
356000,3,1.5,1680,0,1964,47.4811,-122.149
315000,3,1.0,960,0,1952,47.7264,-122.31
940000,3,1.5,2140,0,1925,47.6337,-122.365
305000,5,2.25,2660,0,1961,47.2909,-122.189
461000,3,3.25,2770,0,2006,47.5228,-122.199
215000,2,2.25,1610,0,1979,47.518,-122.194
335000,2,1.75,1030,0,2006,47.5394,-122.387
243500,4,2.5,1980,0,1988,47.2897,-122.372
1099880,5,2.75,3520,0,2001,47.6506,-122.391
153000,3,1.0,1200,0,1962,47.322,-122.351
430000,3,1.5,1580,0,1939,47.687,-122.386
700000,3,1.5,1580,0,1939,47.687,-122.386
905000,4,2.5,3300,0,1991,47.5873,-122.249
247500,3,1.75,1960,0,1967,47.3576,-122.277
199000,4,1.5,1160,0,1975,47.3036,-122.378
314000,3,1.75,1810,0,1980,47.4109,-121.958
437500,3,2.5,2320,0,1992,47.4838,-121.714
850830,3,2.5,2070,0,1910,47.6415,-122.315
555000,3,2.0,1980,0,1929,47.6775,-122.372
699950,3,2.25,2190,0,1983,47.7731,-122.08
1088000,3,2.5,2920,0,2010,47.5814,-122.196
290000,3,1.0,1210,0,1954,47.4375,-122.184
375000,3,2.5,2340,0,1978,47.4431,-122.133
460000,3,1.0,1670,0,1939,47.6878,-122.38
188500,2,1.75,1240,0,1985,47.3813,-122.322
680000,4,2.5,3140,0,1991,47.7304,-122.082
470000,5,1.75,2030,0,1942,47.6417,-122.109
597750,4,2.5,2310,0,1984,47.5386,-122.053
570000,3,1.75,1260,0,1905,47.6823,-122.349
272500,3,1.75,1540,0,1980,47.3624,-122.031
329950,3,1.75,2080,0,1971,47.5474,-122.295
480000,4,2.5,3230,0,2001,47.3183,-122.253
740500,3,3.5,4380,0,1999,47.6981,-122.368
518500,3,3.5,1590,0,2010,47.6824,-122.347
205425,2,1.0,880,0,1945,47.5009,-122.248
171800,4,2.0,1570,0,1950,47.4965,-122.303
535000,4,1.0,1610,0,1925,47.587,-122.294
660000,3,2.5,2400,0,1964,47.7728,-122.386
391500,3,2.0,1450,0,1987,47.7288,-122.226
395000,2,1.0,770,0,1953,47.6999,-122.364
445000,4,1.75,2100,0,1924,47.5299,-122.266
770000,3,2.25,2910,0,1990,47.6897,-122.098
1450000,4,2.75,2750,0,1992,47.6141,-122.212
445000,3,2.25,2100,0,1967,47.5091,-122.244
260000,4,2.25,2160,0,1978,47.3129,-122.39
822500,5,3.5,2320,0,1926,47.6763,-122.352
430000,4,2.5,2070,0,2004,47.5319,-121.85
212000,3,1.75,1060,0,1986,47.2761,-122.152
660500,4,2.25,2010,0,1986,47.5343,-122.054
784000,3,3.5,3950,0,1989,47.697,-122.072
453246,3,2.5,2010,0,2014,47.5517,-121.998
675000,4,3.5,2140,0,2005,47.6734,-122.38
199000,3,1.75,1320,0,1956,47.3257,-122.296
220000,4,1.75,2020,0,1968,47.3309,-122.299
452000,4,2.25,2590,0,1968,47.7689,-122.266
382500,2,1.0,1190,0,1981,47.7135,-122.287
519950,3,2.25,1170,0,2014,47.6722,-122.381
665000,2,1.0,1110,0,1925,47.6338,-122.358
527700,5,2.5,2820,0,1968,47.5707,-122.128
205000,3,1.0,1610,0,1962,47.4563,-122.171
420000,3,1.0,1060,0,1923,47.7144,-122.351
500000,4,2.25,2030,0,1961,47.5495,-122.174
921500,4,2.5,3670,0,1994,47.7421,-122.026
890000,4,1.0,2550,0,1905,47.6354,-122.353
430000,2,2.5,2420,0,2007,47.5262,-121.943
258000,5,2.0,2260,0,1960,47.3887,-122.286
511000,3,1.0,1430,0,1947,47.6873,-122.336
532170,3,2.0,1360,0,1990,47.6838,-122.353
560000,3,1.0,1110,0,1947,47.655,-122.359
282950,3,1.0,1250,0,1954,47.3255,-122.304
2250000,4,3.25,5180,0,2006,47.562,-122.162
350000,1,1.0,700,0,1942,47.679,-122.3
215000,3,1.0,1180,0,1967,47.4479,-122.176
650000,5,3.5,3960,0,1996,47.525,-122.172
320000,4,2.75,2640,0,1967,47.3135,-122.369
247000,3,2.0,1270,0,2013,47.2086,-121.996
320000,4,1.75,1760,0,1968,47.4715,-122.118
255000,5,2.25,2060,0,1962,47.4877,-122.335
438000,3,1.75,1780,0,1962,47.7171,-122.193
900000,3,2.5,3400,0,2000,47.6012,-122.023
441000,3,2.75,1910,0,1979,47.7319,-122.224
420000,3,2.0,2020,0,1975,47.4582,-122.023
370000,3,1.75,1580,0,1976,47.7209,-122.168
269950,2,1.75,1340,0,1949,47.408,-122.327
807100,4,2.5,2680,0,1999,47.565,-122.125
653000,3,2.5,2680,0,1979,47.7028,-122.231
371500,3,2.0,1370,0,1964,47.7458,-122.331
284000,3,1.75,1560,0,1954,47.4776,-122.337
272000,3,1.75,2160,0,1978,47.3026,-122.374
313000,3,1.5,1340,0,1955,47.7658,-122.339
917500,4,2.5,3880,0,1984,47.6477,-122.182
673000,4,2.25,2590,0,1980,47.5619,-122.125
425000,3,2.5,1120,0,2008,47.6106,-122.31
399950,5,2.75,1970,0,1986,47.5868,-122.308
385000,3,1.0,1220,0,1901,47.6101,-122.307
269950,3,1.5,1950,0,1975,47.1976,-121.999
330000,2,1.0,1350,0,1949,47.7224,-122.358
260000,3,2.5,1670,0,1988,47.3505,-122.179
470000,4,3.0,2380,0,1925,47.5384,-122.376
589000,4,3.0,2440,0,1961,47.7044,-122.2
163500,2,1.5,1050,0,1996,47.3848,-122.039
835000,4,2.75,3130,0,1993,47.6993,-122.102
1095000,5,3.0,4090,0,1986,47.6627,-122.188
269000,4,1.75,1490,0,1969,47.3099,-122.379
560000,3,2.5,1900,0,1987,47.62,-122.043
615000,4,1.0,1330,0,1901,47.65,-122.34
585188,3,2.25,2230,0,1975,47.6647,-122.153
305000,3,1.75,1650,0,1977,47.726,-122.191
166950,3,1.0,1190,0,1959,47.4616,-122.184
799000,3,2.5,2140,0,1959,47.5505,-122.219
400000,3,2.5,2180,0,1962,47.7606,-122.336
230000,3,1.0,1060,0,1948,47.7481,-122.3
256883,3,2.5,1690,0,2003,47.2779,-122.347
423000,4,2.0,1970,0,1920,47.5511,-122.312
465000,3,2.5,2150,0,2007,47.5488,-122.372
440000,3,2.5,1910,0,1997,47.5385,-121.911
385000,3,1.75,1350,0,1969,47.4058,-121.994
210000,3,1.0,860,0,1943,47.5093,-122.184
297000,3,2.5,1940,0,1994,47.3777,-122.165
470000,3,1.0,1010,0,1952,47.675,-122.394
226500,3,1.5,1300,0,1976,47.3025,-122.37
274250,3,1.0,910,0,1962,47.4787,-122.158
840000,4,1.75,2480,0,1966,47.5378,-122.219
677900,3,2.5,2440,0,2010,47.7073,-122.114
425000,3,1.0,1010,0,1915,47.5733,-122.381
180250,2,0.75,900,0,1941,47.4604,-122.339
464000,6,3.0,2300,0,1994,47.7067,-122.343
320000,4,2.25,1550,0,1993,47.354,-122.047
625504,3,2.25,1270,0,2014,47.6647,-122.284
592500,4,2.5,2240,0,1983,47.6143,-122.017
465000,3,2.5,2714,0,2005,47.3185,-122.275
477000,4,2.75,1720,0,1978,47.5458,-122.268
280000,2,1.0,850,0,1923,47.4889,-122.299
1505000,5,3.0,3300,0,1991,47.5673,-122.21
445838,3,2.5,2250,0,2000,47.5133,-122.379
1072000,2,2.25,3900,0,1947,47.5884,-122.291
467000,2,1.5,1320,0,1947,47.7145,-122.367
686000,4,2.5,2760,0,1999,47.5836,-122.026
279950,3,2.0,1750,0,1961,47.398,-122.299
527000,4,2.25,2330,0,1987,47.7663,-122.215
325000,3,2.25,2220,0,1966,47.3758,-122.217
328000,3,2.25,2020,0,1994,47.3828,-122.023
390000,3,2.25,1250,0,1942,47.5123,-122.373
479950,2,2.0,1510,0,2005,47.7076,-122.013
264950,4,2.25,1720,0,1978,47.2922,-122.371
235000,3,1.0,1430,0,1961,47.4075,-122.214
516500,3,2.5,1480,0,2004,47.6794,-122.034
655000,2,1.75,1450,1,1978,47.4497,-122.375
500000,4,2.75,2280,0,1960,47.5218,-122.164
315000,6,2.75,2940,0,1978,47.3103,-122.339
213000,2,1.0,1000,0,1961,47.5687,-121.899
475000,3,1.5,2480,0,1947,47.5575,-122.303
1025000,5,4.0,3760,0,1983,47.6489,-122.183
416000,3,2.0,2220,0,1976,47.3459,-121.95
410000,4,1.0,1970,0,2005,47.6136,-122.303
800000,3,3.5,3830,0,1993,47.7641,-122.023
472000,6,2.5,4410,0,1965,47.3376,-122.324
225000,3,1.75,1430,0,1968,47.3173,-122.319
210000,2,1.0,830,0,1940,47.5308,-122.376
455000,2,1.0,1430,0,1925,47.6727,-122.299
225000,3,1.0,1300,0,1954,47.3221,-122.216
480000,2,1.0,1030,0,1918,47.6779,-122.353
363000,3,2.5,2740,0,1990,47.3076,-122.395
2400000,4,2.5,3650,1,2000,47.6338,-122.072
181000,2,1.5,720,0,1954,47.5218,-122.357
250000,4,2.0,2010,0,1976,47.2785,-122.213
481000,3,1.75,1560,0,1918,47.6846,-122.345
260000,3,2.0,1810,0,1978,47.3656,-122.278
455000,4,2.5,3360,0,2001,47.4369,-122.111
415000,3,2.25,1510,0,1991,47.4616,-121.711
349500,3,1.0,1400,0,1953,47.5405,-122.27
245000,3,2.5,1730,0,1987,47.3507,-122.178
592500,2,2.0,1420,0,1928,47.6979,-122.32
385000,4,1.75,2360,0,1955,47.5278,-122.345
315000,3,1.75,1580,0,1974,47.4756,-122.147
255000,3,1.0,1230,0,1979,47.4437,-121.772
693000,4,2.5,2460,0,2006,47.7048,-122.109
780000,3,1.0,1660,0,1911,47.6362,-122.302
237000,3,1.75,1270,0,1960,47.4207,-122.29
525000,3,2.25,2100,0,1979,47.6154,-122.047
425000,2,1.0,770,0,1930,47.5964,-122.299
369900,1,0.75,760,1,1936,47.4683,-122.438
290000,4,2.5,1700,0,1988,47.4045,-122.171
285000,3,1.0,1120,0,1954,47.5544,-122.358
415000,2,1.0,1070,0,1937,47.6802,-122.29
272500,3,2.5,2070,0,1979,47.2988,-122.371
2900000,4,3.25,5050,0,2008,47.6312,-122.223
1365000,4,4.75,5310,0,1989,47.7285,-122.042
436000,2,1.0,1040,0,1939,47.7107,-122.352
210000,3,1.0,1700,0,1967,47.3271,-122.323
236000,3,1.0,1300,0,1961,47.5053,-122.255
331000,3,1.75,1080,0,2003,47.6601,-122.4
365000,3,2.5,2653,0,2006,47.4145,-122.166
450000,3,2.0,2290,0,1960,47.4672,-122.165
770000,4,2.75,3820,0,2014,47.7618,-122.261
455000,4,2.5,2210,0,1997,47.3828,-122.071
405000,3,1.75,2390,0,1908,47.5362,-122.268
304900,4,1.75,2600,0,1969,47.3954,-122.206
170000,2,1.0,860,0,1931,47.5048,-122.272
2050000,5,3.0,3830,0,1994,47.6166,-122.287
780000,4,2.5,3500,0,2005,47.6811,-122.025
330000,3,3.0,2420,0,1988,47.7486,-122.23
370000,4,2.5,2720,0,1992,47.3846,-122.169
467000,5,2.25,2500,0,1979,47.7564,-122.144
405000,3,1.75,1670,0,1980,47.7198,-122.193
675000,5,2.25,2900,0,1985,47.5461,-122.151
500000,2,1.0,1640,0,1954,47.5712,-122.143
389999,4,2.5,1890,0,1968,47.4281,-122.343
630000,4,1.75,2950,0,1975,47.7128,-122.223
360000,4,2.5,2160,0,1992,47.3341,-122.255
580000,4,3.0,3280,0,1986,47.5399,-122.181
550000,3,2.0,1970,0,1929,47.5717,-122.375
879000,4,2.5,3360,0,1994,47.5951,-122.017
265000,3,2.0,1320,0,1993,47.3536,-122.144
446500,3,2.5,2650,0,1990,47.5084,-122.154
404000,3,1.5,2030,0,1963,47.5586,-122.311
267500,3,1.75,1590,0,1957,47.4427,-122.274
3075000,4,5.0,4550,1,2002,47.6053,-122.077
335000,3,2.5,2440,0,1998,47.3494,-122.301
576000,3,2.5,1940,0,1948,47.6933,-122.393
208633,3,2.5,2040,0,2006,47.3537,-122.0
315000,3,2.25,2200,0,1964,47.476,-122.337
725000,3,1.75,1920,0,1913,47.6239,-122.298
550000,4,2.75,1800,0,1965,47.7776,-122.384
610750,4,2.25,2180,0,1984,47.6459,-122.058
550700,2,1.0,1010,0,1908,47.6692,-122.297
665000,4,2.75,3320,0,1960,47.5376,-122.18
834000,4,2.5,2370,0,1928,47.601,-122.294
201000,5,1.75,1660,0,1915,47.529,-121.837
2384000,5,2.5,3650,0,1921,47.6345,-122.367
1384000,4,3.25,4290,0,1997,47.5503,-122.102
1400000,4,3.25,4290,0,1997,47.5503,-122.102
305000,4,2.25,1950,0,1979,47.4441,-122.125
487000,3,2.0,2590,0,1948,47.7357,-122.333
390000,3,2.5,1930,0,1988,47.346,-122.157
548000,2,1.0,1470,0,1916,47.6638,-122.345
268750,4,1.0,800,0,1943,47.48,-122.336
819900,5,2.75,3150,0,2013,47.6759,-122.151
520000,3,2.25,2030,0,1984,47.5162,-122.057
230000,3,2.0,1450,0,2003,47.2639,-122.252
240000,3,1.75,1510,0,1969,47.2929,-122.371
232000,2,1.0,1240,0,1984,47.4957,-122.352
240500,2,1.0,1240,0,1984,47.4957,-122.352
274975,3,2.5,3030,0,1987,47.7721,-122.093
740000,4,2.0,2050,0,1922,47.644,-122.319
186375,3,1.0,1000,0,1952,47.472,-122.344
790000,3,2.25,2370,0,1977,47.592,-122.166
880000,4,3.5,2800,0,2002,47.669,-122.275
279000,6,1.75,2240,0,1955,47.42,-122.323
295000,3,2.0,1810,0,1991,47.1913,-122.012
640000,2,1.0,1070,0,1924,47.6666,-122.331
940000,4,2.0,2490,0,1968,47.5639,-122.217
260000,4,2.5,1960,0,2003,47.3483,-122.052
559900,3,2.75,2930,0,2004,47.7648,-122.164
791500,4,2.0,1510,0,1911,47.6794,-122.357
265000,3,1.75,1420,0,1954,47.7535,-122.354
245000,3,1.75,1740,0,1954,47.4945,-122.22
485000,4,1.75,2560,0,1962,47.6945,-122.093
684000,4,3.5,3040,0,2010,47.5222,-122.157
425000,3,1.75,2500,0,1957,47.7222,-122.32
309600,4,1.75,1275,0,1991,47.3796,-122.49
552250,4,2.5,2580,0,2002,47.5374,-121.875
165000,4,1.0,1000,0,1943,47.4897,-122.24
239900,4,1.0,1000,0,1943,47.4897,-122.24
320000,2,1.0,1070,0,1930,47.4716,-122.078
206600,3,2.0,1390,0,1987,47.3581,-122.173
387000,4,1.75,2500,0,1973,47.7713,-122.307
299000,1,0.75,560,0,1967,47.675,-121.854
855000,4,2.75,2270,0,1965,47.5603,-122.222
315000,3,1.0,1900,0,1954,47.4147,-122.337
437500,2,1.0,990,0,1907,47.68,-122.353
252000,4,1.5,1550,0,1969,47.3117,-122.27
375000,4,1.75,2200,0,1955,47.543,-122.28
300000,4,2.5,1910,0,2005,47.3607,-122.034
420000,4,1.0,1750,0,1954,47.5759,-122.137
900000,3,1.0,1330,0,1954,47.6891,-122.159
679900,3,2.5,2440,0,2000,47.565,-122.381
463000,3,2.5,1640,0,1992,47.6359,-121.974
380000,5,2.5,2760,0,1978,47.4769,-122.141
329500,4,2.5,1820,0,1994,47.3845,-122.029
604950,3,2.5,2110,0,2013,47.6743,-122.184
795000,5,2.5,3040,0,1966,47.5651,-122.164
465000,3,2.0,1840,0,1994,47.4853,-121.709
673000,4,2.5,2990,0,2002,47.4508,-122.359
810000,4,2.5,3520,0,1991,47.6375,-122.016
785000,4,2.75,2440,0,1989,47.5944,-122.042
338000,4,3.0,2090,0,1986,47.4888,-122.182
280000,3,2.25,1430,0,1993,47.5112,-122.19
315000,4,2.25,2180,0,1954,47.7711,-122.341
530000,4,2.25,2180,0,1954,47.7711,-122.341
380000,5,3.0,3450,0,2004,47.2813,-122.345
297000,3,2.25,1450,0,1994,47.5038,-122.189
730000,4,2.5,3230,0,2004,47.5823,-121.97
450000,3,1.75,1640,0,1940,47.7164,-122.304
275000,3,3.0,1590,0,1997,47.3624,-122.045
595000,4,2.0,2020,0,1960,47.6831,-122.329
435000,3,1.5,1300,0,2014,47.592,-122.307
270000,2,1.5,1380,0,1954,47.7461,-122.195
950000,3,3.0,4040,0,1986,47.7268,-122.06
389000,4,2.25,2130,0,2001,47.7237,-121.959
560000,4,2.25,2550,0,1968,47.6283,-122.095
1350000,5,3.5,4800,0,1998,47.5543,-122.148
799000,4,2.25,2510,0,1969,47.5483,-122.226
365500,3,2.0,1410,0,1983,47.7591,-122.146
252350,3,2.0,1650,0,1979,47.4612,-122.169
403950,4,2.5,2120,0,1993,47.4987,-122.365
385000,4,1.5,2040,0,1954,47.772,-122.358
345000,4,1.0,1550,0,1957,47.5287,-122.35
490000,3,2.75,1980,0,1979,47.6109,-122.114
330000,3,2.5,1600,0,2005,47.7736,-121.901
927000,4,2.75,3300,0,1953,47.6294,-122.218
1118000,4,2.5,3840,0,1983,47.5634,-122.213
330000,2,1.0,1220,0,1950,47.7405,-122.241
530000,5,2.25,2720,0,1958,47.5976,-122.118
365000,4,2.0,1940,0,1962,47.5722,-122.129
378750,3,2.5,2160,0,2011,47.5644,-122.289
269900,4,1.75,1530,0,1968,47.4556,-122.157
557000,3,3.5,1710,0,2008,47.6055,-122.305
360000,4,1.75,3730,0,1974,47.1775,-122.022
352000,2,1.0,940,0,1937,47.6879,-122.385
437000,3,2.5,1750,0,1994,47.4807,-121.779
322500,4,2.5,1820,0,1994,47.3845,-122.032
650000,3,3.25,1510,0,2001,47.5815,-122.402
450000,3,2.0,1290,0,2001,47.6609,-122.344
278500,3,2.0,1570,0,1998,47.3163,-122.188
364950,4,2.5,1930,0,1995,47.4309,-122.191
840000,4,3.5,2840,0,1986,47.401,-122.026
268000,3,2.5,1550,0,1991,47.404,-122.191
517534,2,1.0,833,0,2006,47.3889,-122.482
632925,3,2.5,2990,0,1978,47.7718,-122.095
577500,3,2.5,2000,0,1995,47.7067,-122.2
339000,4,1.5,2390,0,1920,47.504,-122.227
570000,3,1.75,2910,0,1967,47.7015,-122.164
563500,4,1.75,2085,0,1964,47.5753,-121.95
423000,4,2.25,2200,0,1962,47.7448,-122.333
355000,3,2.25,1860,0,2012,47.7318,-121.982
1550000,5,4.25,6070,0,1999,47.5954,-121.95
482000,2,1.0,950,0,1941,47.6885,-122.337
625000,3,1.75,1600,0,1955,47.5724,-122.179
538000,3,2.5,2250,0,1988,47.5272,-122.169
380000,3,2.5,2280,0,1985,47.4334,-122.161
375000,2,1.0,940,0,1909,47.6073,-122.308
245000,3,2.5,1530,0,1996,47.3592,-122.046
310000,5,1.75,2190,0,1974,47.4546,-122.337
1300000,3,2.0,2350,0,1976,47.6408,-122.219
397000,4,2.0,1440,0,1971,47.7245,-122.2
365000,3,2.5,2200,0,2005,47.4362,-122.178
328500,4,3.0,2290,0,1990,47.3739,-122.156
988000,4,3.0,4040,0,1987,47.7205,-122.127
1000000,4,2.5,2610,0,1922,47.6636,-122.33
237000,3,2.5,1490,0,2005,47.4324,-122.197
525000,4,2.5,2450,0,2003,47.7734,-122.224
749000,4,2.5,1710,0,2014,47.559,-122.164
722500,5,2.5,4870,0,1983,47.633,-122.041
843000,3,2.5,3130,0,1991,47.6954,-122.103
438000,2,2.0,1270,0,2000,47.6776,-122.318
578000,3,1.75,2120,0,1977,47.504,-122.382
227950,3,1.5,1670,0,1954,47.2613,-122.255
196000,3,2.25,2070,0,1974,47.3417,-122.271
641000,2,1.0,1420,0,1953,47.6694,-122.275
350000,3,1.5,1250,0,1980,47.4056,-121.955
205000,3,1.0,940,0,1960,47.3838,-122.289
400000,3,1.75,1920,0,1968,47.7487,-122.082
1030000,3,2.5,3545,0,2005,47.5534,-122.078
505000,3,2.0,1260,0,1972,47.7355,-122.18
475000,5,2.5,2340,0,1975,47.7206,-122.211
520000,3,2.25,2590,0,1977,47.7691,-122.262
1450000,3,4.5,3970,0,1999,47.7183,-122.258
333500,3,1.75,1220,0,1965,47.7736,-122.214
232000,3,1.0,1400,0,1976,47.362,-122.029
691100,3,2.75,2360,0,1983,47.5698,-122.121
811000,3,1.75,1870,0,1960,47.5505,-122.221
551000,3,2.5,2830,0,2001,47.7605,-122.234
496500,3,2.5,2260,0,1994,47.7356,-122.157
705000,3,3.0,1970,1,1980,47.3844,-122.438
578000,4,2.5,3140,0,1966,47.4904,-122.226
255000,3,1.75,1240,0,1986,47.3663,-122.089
1050000,4,3.5,3450,0,2007,47.5637,-122.123
348000,3,2.25,2570,0,1989,47.3759,-122.125
230000,3,2.0,1510,0,1985,47.3912,-122.167
359500,4,2.25,2390,0,1988,47.3305,-122.371
330000,3,1.0,980,0,1953,47.7617,-122.357
80000,1,0.75,430,0,1912,47.6499,-121.909
465000,3,1.75,1480,0,1954,47.7311,-122.353
325000,4,2.5,1850,0,1997,47.3701,-122.107
340500,3,2.0,2270,0,1947,47.4857,-122.318
342500,3,2.5,1810,0,1993,47.3724,-122.042
290900,2,2.0,1610,0,1983,47.4855,-122.266
868700,3,4.25,3840,0,2000,47.6336,-122.064
1199000,4,2.75,4110,0,2013,47.717,-122.281
1150000,4,3.25,4190,0,2000,47.6332,-122.066
859900,4,2.75,3390,0,2011,47.5906,-122.062
520000,4,2.25,1890,0,2003,47.5461,-121.998
460000,3,2.5,1610,0,2005,47.5674,-122.29
438924,3,1.5,1050,0,1949,47.6943,-122.29
315000,2,1.0,630,0,1918,47.5486,-122.38
590000,4,2.75,2910,0,1975,47.6658,-122.188
378500,4,1.75,1700,0,1955,47.5772,-122.153
328500,3,2.5,1950,0,1990,47.3875,-122.161
849950,3,3.0,2990,0,1973,47.6344,-122.174
525000,3,1.5,1350,0,1950,47.5275,-122.391
1385000,4,3.25,4860,0,1993,47.6179,-122.005
295000,4,2.5,2160,0,1978,47.3078,-122.378
1067000,6,3.5,4860,0,1998,47.5521,-122.137
207950,2,2.0,890,0,1917,47.5158,-122.264
699900,4,2.75,2810,0,2002,47.5985,-121.977
1280000,5,2.5,3400,0,1977,47.5645,-122.082
452000,4,1.5,1580,0,1963,47.6734,-122.154
370000,3,2.0,1680,0,1987,47.4734,-122.186
232000,3,1.75,1300,0,1968,47.3811,-122.087
669950,5,2.5,2820,0,1960,47.7081,-122.215
397500,3,2.0,1510,0,1972,47.7193,-122.216
490000,2,2.5,1230,0,2004,47.6192,-122.301
725000,4,2.0,2110,0,2003,47.5836,-122.387
299000,3,2.75,3080,0,1958,47.3841,-122.284
625000,2,1.5,1490,0,1900,47.5872,-122.39
437500,3,2.5,2120,0,2000,47.5322,-121.88
650000,4,2.5,3180,0,2003,47.5416,-121.864
475000,2,1.0,1490,0,1929,47.6799,-122.381
342000,3,2.0,1930,0,1966,47.3672,-122.151
1197350,4,2.5,2770,0,1999,47.684,-122.205
280000,3,1.5,1670,0,1963,47.4404,-122.191
240000,2,1.75,1330,0,1993,47.4467,-122.281
529000,3,1.0,1210,0,1924,47.6729,-122.363
442000,3,1.0,1190,0,1941,47.5346,-122.385
615000,2,1.0,1540,0,1946,47.6454,-122.373
1485000,4,3.75,4030,0,2006,47.6821,-122.196
585000,4,1.75,2430,0,1981,47.7206,-122.11
480000,4,2.5,2600,0,2005,47.4877,-122.139
1095000,5,3.5,4410,0,1990,47.6554,-122.018
290000,4,1.0,1330,0,1949,47.7343,-122.347
615000,3,1.75,1900,0,1951,47.5789,-122.393
300000,2,1.0,1100,0,1950,47.7439,-122.339
