longitude,latitude,sqft_living,total_bedrooms,population,price,ocean_proximity,yr_changed
-122.22,37.77,391,1.0,520,95000,1,1971
-122.22,37.77,1137,1.0,866,96400,1,1971
-122.23,37.77,769,1.0,612,72000,1,1971
-122.23,37.78,472,1.0,415,71300,1,1971
-122.23,37.78,862,1.0,994,80800,1,1971
-122.22,37.78,1920,2.0,1525,128800,1,1973
-122.23,37.78,1420,1.0,1506,112500,1,1980
-122.23,37.78,986,1.0,1008,119400,1,1971
-122.23,37.78,2340,3.0,2813,118100,1,1979
-122.23,37.79,1696,1.0,1481,122500,1,1975
-122.23,37.79,1175,1.0,859,106300,1,1974
-122.22,37.79,2343,2.0,1608,132500,1,1986
-122.23,37.79,610,1.0,425,122700,1,1993
-122.23,37.79,930,1.0,564,113300,1,1983
-122.22,37.79,1487,1.0,961,109500,1,1979
-122.22,37.79,3424,2.0,2273,164700,1,1971
-122.21,37.79,762,1.0,600,125000,1,1971
-122.22,37.79,2366,2.0,1647,124700,1,1977
-122.22,37.79,1826,1.0,1201,136700,1,1974
-122.22,37.79,3049,2.0,2167,141700,1,1985
-122.2,37.79,1640,1.0,939,150000,1,1994
-122.21,37.79,1543,1.0,859,138800,1,1976
-122.21,37.79,2364,2.0,1517,139200,1,1989
-122.21,37.79,1745,1.0,1143,143800,1,1988
-122.21,37.8,2003,2.0,1109,156500,1,1984
-122.21,37.8,2018,1.0,1221,151000,1,1984
-122.2,37.8,3045,1.0,1115,273000,1,1980
-122.2,37.8,1547,1.0,706,217100,1,1971
-122.21,37.8,3519,2.0,1883,187100,1,1971
-122.2,37.8,2070,1.0,804,239600,1,1982
-122.21,37.8,1321,1.0,506,229700,1,1975
-122.19,37.8,1694,1.0,610,257300,1,1975
-122.19,37.8,1938,1.0,768,246900,1,1977
-122.19,37.79,968,1.0,462,179900,1,1973
-122.2,37.79,1060,1.0,667,169600,1,1983
-122.2,37.8,2041,1.0,1059,203300,1,1977
-122.19,37.8,1813,1.0,637,263400,1,1971
-122.19,37.79,2718,1.0,1106,231800,1,1978
-122.19,37.79,3144,3.0,1737,140500,1,1995
-122.2,37.79,1802,1.0,1009,126000,1,1988
-122.2,37.79,882,1.0,737,122000,1,1974
-122.2,37.79,1621,1.0,1354,134700,1,1979
-122.21,37.79,2115,2.0,1530,139400,1,1978
-122.2,37.79,2021,2.0,1410,115400,1,1978
-122.21,37.78,2239,2.0,1390,137300,1,1977
-122.21,37.78,1477,1.0,1065,137000,1,1971
-122.21,37.78,1056,1.0,792,142600,1,1971
-122.21,37.78,898,1.0,779,137500,1,1974
-122.22,37.78,2968,2.0,2269,111700,1,1979
-122.21,37.78,1702,1.0,1227,126800,1,1980
-122.21,37.78,881,1.0,753,111300,1,1976
-122.22,37.77,494,1.0,547,114800,1,1983
-122.22,37.78,1776,1.0,1807,102300,1,1973
-122.22,37.78,1678,2.0,1700,131900,1,1979
-122.22,37.78,1637,1.0,1543,119100,1,1972
-122.21,37.76,1420,1.0,1085,80600,1,1971
-122.21,37.77,591,1.0,353,80600,1,1971
-122.21,37.77,745,1.0,473,88800,1,1971
-122.2,37.77,2272,1.0,1621,102400,1,1974
-122.21,37.77,1234,1.0,1183,98700,1,1977
-122.21,37.77,1017,1.0,836,100000,1,1980
-122.19,37.77,932,1.0,900,92300,1,1981
-122.2,37.77,2689,2.0,1888,94800,1,1984
-122.2,37.77,1547,1.0,1024,102000,1,1982
-122.2,37.78,2300,1.0,1225,158400,1,1971
-122.2,37.78,1752,1.0,1071,121600,1,1984
-122.2,37.78,1867,1.0,1128,129100,1,1973
-122.2,37.77,2430,2.0,1537,121400,1,1980
-122.21,37.78,1729,1.0,1240,102800,1,1979
-122.19,37.78,1026,1.0,469,160000,1,1971
-122.19,37.77,2170,1.0,1086,143900,1,1971
-122.19,37.77,2329,1.0,1144,151200,1,1971
-122.19,37.78,2492,1.0,1109,164400,1,1971
-122.19,37.78,2198,1.0,984,156500,1,1971
-122.18,37.78,142,1.0,575,225000,1,1990
-122.19,37.78,1183,1.0,496,174200,1,1974
-122.19,37.78,1070,1.0,555,166900,1,1971
-122.2,37.78,1766,1.0,869,163500,1,1978
-122.18,37.79,617,1.0,236,253000,1,1984
-122.18,37.79,1411,1.0,626,240700,1,1982
-122.18,37.79,2109,1.0,922,208100,1,1977
-122.19,37.79,1229,1.0,582,198100,1,1976
-122.19,37.79,954,1.0,546,172800,1,1973
-122.18,37.81,1643,1.0,620,336700,1,1986
-122.18,37.8,1355,1.0,442,318200,1,1989
-122.18,37.8,2317,1.0,955,285800,1,2000
-122.13,37.77,2459,1.0,916,293000,1,1999
-122.16,37.79,12842,8.0,4985,371000,1,2001
-122.17,37.78,1524,1.0,651,157300,1,1981
-122.17,37.77,3326,2.0,1704,135300,1,1993
-122.18,37.78,1985,1.0,1085,136700,1,1980
-122.18,37.78,1642,1.0,713,160700,1,1973
-122.17,37.78,893,1.0,468,140600,1,1974
-122.17,37.78,653,1.0,296,144000,1,1971
-122.16,37.77,1256,,570,161900,1,1976
-122.16,37.77,977,1.0,446,156300,1,1975
-122.16,37.77,2324,1.0,968,176000,1,1978
-122.16,37.77,1583,1.0,857,145800,1,1984
-122.17,37.77,1612,1.0,912,141900,1,1984
-122.17,37.77,2424,2.0,1360,90700,1,1992
-122.17,37.76,1594,1.0,1074,90600,1,1982
-122.17,37.76,2118,1.0,965,107900,1,1976
-122.18,37.76,1575,1.0,933,107000,1,1986
-122.17,37.76,1764,1.0,987,98200,1,1985
-122.18,37.76,1187,1.0,907,89500,1,1973
-122.18,37.76,754,1.0,447,93800,1,1971
-122.18,37.76,2308,1.0,1299,96700,1,1974
-122.18,37.77,909,1.0,396,97500,1,1996
-122.18,37.77,1180,1.0,877,97300,1,1981
-122.18,37.76,2018,1.0,1111,91200,1,1980
-122.19,37.76,1368,1.0,790,91400,1,1974
-122.18,37.77,2744,2.0,1479,96200,1,1971
-122.18,37.77,2107,1.0,1173,120100,1,1972
-122.18,37.77,1748,1.0,1029,100000,1,1971
-122.19,37.76,2024,1.0,1030,94700,1,1971
-122.2,37.76,1116,1.0,826,85700,1,1976
-122.19,37.77,2036,2.0,1412,89300,1,1982
-122.19,37.77,1852,1.0,1132,101400,1,1978
-122.19,37.76,921,1.0,522,72500,1,1982
-122.19,37.76,995,1.0,630,74100,1,1978
-122.2,37.75,606,1.0,531,70000,1,1987
-122.2,37.76,2680,2.0,1925,84600,1,1986
-122.19,37.76,1493,1.0,1144,81800,1,1985
-122.19,37.75,2207,2.0,1481,81400,1,2004
-122.19,37.75,856,1.0,435,81800,1,1995
-122.19,37.76,1293,1.0,984,85800,1,1997
-122.19,37.74,847,1.0,567,87100,1,1987
-122.18,37.74,541,1.0,380,83500,1,1981
-122.19,37.73,1066,1.0,825,79700,1,1979
-122.19,37.74,707,1.0,417,83400,1,1980
-122.19,37.73,1528,1.0,801,84700,1,1978
-122.18,37.73,909,1.0,646,80000,1,1981
-122.18,37.73,1391,1.0,855,76400,1,1980
-122.18,37.73,548,1.0,435,79700,1,1979
-122.18,37.73,4074,3.0,2736,82400,1,1981
-122.17,37.74,1613,1.0,1481,97700,1,1982
-122.17,37.74,463,1.0,327,97200,1,1976
-122.17,37.74,818,1.0,494,101600,1,1980
-122.17,37.73,1473,1.0,1231,86500,1,1980
-122.18,37.74,504,1.0,323,90500,1,1988
-122.17,37.74,1026,1.0,749,107600,1,1977
-122.17,37.74,769,1.0,693,84200,1,1977
-122.18,37.74,2103,1.0,1339,88900,1,1977
-122.18,37.75,330,1.0,282,80700,1,1978
-122.18,37.75,941,1.0,621,87100,1,1977
-122.17,37.75,992,,732,85100,1,1985
-122.18,37.75,990,1.0,901,82000,1,1978
-122.19,37.75,1126,1.0,482,82800,1,1987
-122.18,37.75,1036,1.0,652,84600,1,1980
-122.18,37.75,1047,1.0,651,82100,1,1987
-122.17,37.76,1280,1.0,999,89300,1,1990
-122.17,37.75,1587,1.0,907,98300,1,1980
-122.17,37.75,1257,1.0,828,92300,1,1982
-122.17,37.75,1218,1.0,763,88800,1,1979
-122.17,37.75,1751,1.0,935,90000,1,1975
-122.16,37.76,2299,2.0,1437,95500,1,1978
-122.16,37.75,2457,2.0,1516,91700,1,1985
-122.17,37.75,998,1.0,597,100400,1,1976
-122.17,37.76,1685,1.0,949,94800,1,1983
-122.16,37.76,1827,1.0,881,164300,1,1977
-122.16,37.76,2781,2.0,1438,155500,1,1987
-122.15,37.76,1823,1.0,763,196900,1,1984
-122.14,37.77,2229,1.0,1297,279100,1,1996
-122.14,37.76,1513,1.0,545,252800,1,1989
-122.13,37.76,3266,1.0,1222,275400,1,1997
-122.12,37.75,1809,1.0,808,250000,1,1990
-122.12,37.75,794,1.0,329,329800,1,1995
-122.14,37.75,690,1.0,299,195500,1,1987
-122.14,37.75,1334,1.0,579,255900,1,1990
-122.13,37.75,414,1.0,137,311100,1,1993
-122.13,37.75,768,1.0,229,330000,1,1987
-122.13,37.74,4400,2.0,1476,248900,1,1982
-122.16,37.75,954,1.0,429,142900,1,1977
-122.15,37.75,1445,1.0,849,126300,1,1983
-122.15,37.75,1938,1.0,946,135800,1,1979
-122.15,37.74,856,1.0,571,130600,1,1982
-122.16,37.75,1790,1.0,1137,107900,1,1999
-122.16,37.75,617,1.0,378,111100,1,1979
-122.15,37.74,1383,1.0,853,122000,1,1980
-122.15,37.74,1325,1.0,764,118000,1,1974
-122.16,37.75,1227,1.0,928,95200,1,1983
-122.16,37.75,667,1.0,406,94300,1,1988
-122.17,37.74,1223,1.0,824,92500,1,1989
-122.17,37.75,1379,1.0,835,91800,1,1986
-122.16,37.74,1534,1.0,826,109400,1,1980
-122.16,37.74,1029,1.0,567,129500,1,1977
-122.16,37.74,771,1.0,355,143400,1,1971
-122.16,37.74,824,1.0,533,98200,1,1976
-122.16,37.74,1097,1.0,609,103100,1,1979
-122.29,37.9,1283,1.0,576,276800,1,1974
-122.29,37.9,1604,1.0,594,270900,1,1971
-122.29,37.89,2248,1.0,870,246200,1,1971
-122.3,37.9,2263,2.0,1027,224200,1,1985
-122.29,37.89,1571,1.0,693,229100,1,1971
-122.3,37.89,1520,1.0,815,211600,1,1977
-122.3,37.9,5083,4.0,2420,256100,1,2008
-122.3,37.89,1077,1.0,518,206300,1,1987
-122.3,37.89,1248,1.0,620,221300,1,1971
-122.33,37.89,1342,1.0,551,207400,1,1981
-122.34,37.88,3061,3.0,2556,350000,1,1986
-122.29,37.89,3171,2.0,1498,218200,1,1971
-122.29,37.88,1211,1.0,523,216700,1,1973
-122.29,37.89,979,1.0,374,270600,1,1971
-122.29,37.89,2269,1.0,1004,261400,1,1971
-122.28,37.88,1844,1.0,769,261300,1,1971
-122.29,37.89,2178,1.0,940,232200,1,1971
-122.27,37.9,1650,1.0,645,375400,1,1981
-122.26,37.9,1927,1.0,705,357300,1,1971
-122.27,37.9,2079,1.0,684,374400,1,1971
-122.27,37.9,1803,1.0,572,358800,1,1971
-122.27,37.9,2041,1.0,671,417500,1,1971
-122.27,37.89,3046,1.0,975,430500,1,1971
-122.28,37.9,2318,1.0,779,362900,1,1971
-122.28,37.9,2003,1.0,658,397000,1,1971
-122.28,37.9,2261,1.0,819,346800,1,1971
-122.28,37.89,1225,1.0,412,327100,1,1971
-122.28,37.89,2315,1.0,835,290100,1,1971
-122.28,37.89,2070,1.0,722,292000,1,1971
-122.28,37.89,2616,1.0,1085,270900,1,1971
-122.27,37.89,2640,1.0,973,371100,1,1971
-122.27,37.89,1978,1.0,723,335600,1,1971
-122.26,37.9,2220,1.0,903,371300,1,1986
-122.25,37.89,1125,1.0,356,344000,1,1982
-122.26,37.89,3078,1.0,1005,342200,1,1971
-122.26,37.89,3706,2.0,1205,370900,1,1971
-122.25,37.89,3000,1.0,987,350000,1,1986
-122.25,37.89,2863,1.0,1031,368600,1,1981
-122.26,37.88,2551,1.0,894,391800,1,1971
-122.26,37.88,2255,1.0,823,415300,1,1971
-122.27,37.88,3360,2.0,1232,284900,1,1971
-122.27,37.88,1693,1.0,669,287500,1,1971
-122.27,37.88,2252,2.0,989,272900,1,1979
-122.28,37.88,2495,1.0,1058,259600,1,1971
-122.28,37.88,1193,1.0,506,254500,1,1971
-122.28,37.88,1172,1.0,489,235600,1,1971
-122.29,37.88,2159,1.0,824,218400,1,1971
-122.29,37.88,2365,1.0,1034,229200,1,1975
-122.29,37.88,1895,1.0,920,192100,1,1977
-122.29,37.88,1650,1.0,841,179300,1,1971
-122.3,37.88,453,1.0,749,187500,1,1978
-122.3,37.88,409,1.0,208,138800,1,1971
-122.3,37.87,503,1.0,228,150000,1,2013
-122.3,37.86,499,1.0,287,140600,1,1973
-122.29,37.85,477,1.0,218,120000,1,1971
-122.3,37.88,1647,1.0,854,144800,1,1977
-122.3,37.87,3123,2.0,1695,144800,1,1971
-122.28,37.88,957,1.0,403,245500,1,1971
-122.28,37.87,589,1.0,288,200000,1,1971
-122.28,37.87,2026,2.0,963,173700,1,1974
-122.29,37.87,1829,2.0,1129,185600,1,1973
-122.29,37.87,895,1.0,386,182600,1,1971
-122.28,37.88,1909,1.0,811,227900,1,1971
-122.28,37.87,3022,2.0,1293,220700,1,1977
-122.28,37.87,1777,1.0,805,212000,1,1977
-122.27,37.88,2803,3.0,1372,271400,1,1971
-122.27,37.87,1465,1.0,862,268800,1,1993
-122.27,37.88,2619,2.0,1152,277800,1,1986
-122.26,37.88,1149,1.0,483,332500,1,1971
-122.26,37.88,2363,2.0,1558,338900,1,1971
-122.26,37.88,2604,3.0,1798,287500,1,1971
-122.25,37.87,685,1.0,266,384600,1,1982
-122.25,37.87,1756,1.0,2184,371400,1,1981
-122.25,37.87,1204,1.0,2016,350000,1,1971
-122.25,37.87,609,1.0,1349,500001,1,1971
-122.26,37.87,1087,1.0,3337,175000,1,1971
-122.26,37.87,2773,3.0,1721,241700,1,1971
-122.27,37.87,3218,4.0,1675,216700,1,1988
-122.27,37.87,1350,1.0,707,211300,1,1974
-122.27,37.87,3084,2.0,1424,210200,1,1971
-122.28,37.86,938,1.0,393,196400,1,1971
-122.28,37.87,1813,1.0,828,191700,1,1971
-122.28,37.87,1233,1.0,571,182300,1,1971
-122.29,37.87,2539,3.0,1382,175000,1,1979
-122.29,37.87,1267,1.0,792,165900,1,1977
-122.29,37.86,1665,1.0,815,156900,1,1971
-122.28,37.86,1659,1.0,788,164300,1,1971
-122.29,37.87,2225,1.0,1145,150000,1,1971
-122.29,37.86,2485,2.0,1354,150500,1,1973
-122.28,37.86,2031,1.0,958,169900,1,1971
-122.28,37.86,2932,2.0,1361,147400,1,1974
-122.28,37.85,2246,1.0,1005,152700,1,1971
-122.27,37.86,2052,1.0,924,182700,1,1974
-122.28,37.86,1999,1.0,780,179300,1,1971
-122.28,37.86,3007,2.0,1582,157700,1,1971
-122.28,37.86,2214,2.0,1213,153100,1,1982
-122.27,37.86,1088,1.0,486,250000,1,1971
-122.27,37.86,834,1.0,494,206300,1,1971
-122.27,37.86,1769,1.0,849,218800,1,1971
-122.27,37.86,2307,2.0,1127,198200,1,1971
-122.26,37.86,5161,6.0,3276,253600,1,1988
-122.26,37.86,3497,3.0,1493,257400,1,1971
-122.26,37.86,3774,2.0,1461,289500,1,1971
-122.26,37.86,2888,2.0,1253,241700,1,1971
-122.25,37.86,2153,2.0,1656,489600,1,1975
-122.25,37.86,1389,1.0,514,446200,1,1971
-122.25,37.86,1709,1.0,719,456300,1,1971
-122.25,37.86,1587,1.0,878,336800,1,1971
-122.24,37.86,1668,1.0,517,500001,1,1971
-122.24,37.85,3726,1.0,1366,500001,1,1971
-122.25,37.86,4048,2.0,1316,376900,1,1971
-122.26,37.85,3618,3.0,1508,309600,1,1971
-122.27,37.85,4076,3.0,1800,182300,1,1971
-122.27,37.85,2077,1.0,719,172700,1,1976
-122.27,37.85,1279,1.0,675,150800,1,1973
-122.27,37.85,1974,1.0,875,153600,1,1971
-122.27,37.85,335,1.0,152,106300,1,1971
-122.27,37.85,1375,1.0,843,142300,1,1976
-122.28,37.85,610,1.0,281,119400,1,1971
-122.28,37.85,1025,1.0,506,147900,1,1979
-122.28,37.85,2063,1.0,1054,132900,1,1975
-122.29,37.84,1872,1.0,1017,132500,1,1988
-122.28,37.83,3108,3.0,1623,126900,1,1971
-122.3,37.84,7355,9.0,3100,143800,1,2009
-122.23,37.83,2990,1.0,947,500001,1,1971
-122.22,37.82,2492,1.0,808,500001,1,1984
-122.22,37.82,2991,1.0,1018,500001,1,1981
-122.23,37.82,3242,1.0,1001,500001,1,1971
-122.23,37.82,3051,1.0,1005,466100,1,1971
-122.23,37.82,3494,1.0,1192,500001,1,1971
-122.24,37.83,1757,1.0,585,457800,1,1971
-122.24,37.83,2449,1.0,916,471600,1,1971
-122.23,37.82,1611,1.0,556,500001,1,1971
-122.24,37.82,3665,2.0,1470,398600,1,1971
-122.25,37.82,2474,1.0,1104,340700,1,1971
-122.23,37.76,3037,2.0,1242,289900,1,1971
-122.23,37.76,2269,1.0,805,335300,1,1971
-122.23,37.76,1316,1.0,378,333000,1,1971
-122.24,37.77,1153,1.0,481,241000,1,1971
-122.23,37.77,772,1.0,409,189600,1,1971
-122.24,37.77,1711,1.0,885,206300,1,1971
-122.25,37.77,2650,2.0,1468,215700,1,1971
-122.25,37.77,1038,1.0,482,210200,1,1971
-122.25,37.77,1527,1.0,825,208800,1,1971
-122.25,37.77,859,1.0,429,197900,1,1971
-122.26,37.78,970,1.0,528,201300,1,1971
-122.26,37.78,1045,1.0,496,190800,1,1971
